제조국,브랜드,이름,가격(최소),가격(최대),차종,엔진,연비(최소),연비(최대),출력(최소),출력(최대),출시년도,사진번호
한국,르노코리아,더 뉴 SM6,2871,3708,중형,"가솔린, LPG",9.2,13.6,140,225,2024,11439
한국,르노코리아,Arkana,2285,2914,소형 SUV,가솔린,13.2,13.6,123,152,2025,121835
한국,르노코리아,Arkana E-TECH,2988,3310,소형 SUV,가솔린 하이브리드,17,17.4,86,86,2025,121848
한국,르노코리아,XM3,2023,2914,소형 SUV,가솔린,13.2,13.8,123,152,2025,8157
한국,르노코리아,XM3 E-TECH,2938,3660,소형 SUV,가솔린 하이브리드,17,17.4,86,86,2025,39363
한국,르노코리아,더 뉴 QM6,2840,3793,중형 SUV,"LPG, 가솔린",8.6,12,140,144,2025,40149
한국,르노코리아,QM6 Quest,2495,3220,화물,LPG,8.7,8.7,140,140,2025,48525
한국,르노코리아,뉴 마스터,3685,3845,승합,디젤,9.5,11.1,150,163,2024,8797
한국,스마트 EV,EV Z,2750,2750,경형,전기,5.8,5.8,46,46,2020,23475
한국,스마트 EV,D2P,1980,1980,화물,전기,5.2,5.2,13.6,13.6,2020,23489
한국,스마트 EV,D2C,1980,1980,화물,전기,5.2,5.2,13.6,13.6,2020,23487
한국,대창모터스,다니고 카고,3290,3880,화물,전기,3.1,3.4,81.5,81.5,2023,39764
한국,대창모터스,다니고 특장,4310,5780,화물,전기,2.9,3.5,81.5,81.6,2023,39849
한국,디피코,포트로 P250,2233,2288,경형,전기,4.2,4.2,20.4,20.4,2024,121340
한국,디피코,포트로 P350,3245,3333,경형,전기,4,4,58.4,58.4,2023,121269
한국,쎄보모빌리티,CEVO-C SE,1570,1690,경형,전기,6.3,6.3,20.2,20.2,2024,26725
한국,제이스 모빌리티,이티밴,3120,3990,화물,전기,4.4,4.4,81.6,81.6,2024,39512
한국,EVKMC,마사다 QQ밴,1950,1950,경형,전기,4.5,4.5,19.04,19.04,2023,102427
한국,EVKMC,마사다 밴,3780,3980,화물,전기,3.8,3.8,81.6,81.6,2023,42595
한국,EVKMC,마사다 픽업,3779,3779,화물,전기,4.5,4.5,81.6,81.6,2023,42598
한국,마이브,M1,1892,1892,경형,전기,5.5,5.5,17.67,17.67,2022,39565
한국,모빌리티네트웍스,SE-A,3980,3980,화물,전기,4.4,4.4,136,136,2023,47955
유럽,벤츠,The New A-Class F/L,4710,6650,소형,가솔린,10.6,12.2,190,306,2024,113653
유럽,벤츠,The New A-Class,4110,7310,소형,"가솔린, 디젤",9,16.1,150,387,2023,4766
유럽,벤츠,The New C-Class,6200,7701,중형,가솔린,11.1,11.8,204,258,2024,27105
유럽,벤츠,New C-Class,6450,10090,중형,가솔린,8,14.4,194,510,2023,2186
유럽,벤츠,The New CLA-Class,6250,6320,중형,가솔린,11.9,11.9,224,224,2025,116430
유럽,벤츠,CLA-Class,5630,8950,중형,가솔린,9,11.5,224,421,2023,8152
유럽,벤츠,The All New CLE,7270,10080,중형,가솔린,10.9,12.1,204,381,2024,119396
유럽,벤츠,The New CLS-Class,9500,14040,준대형,"디젤, 가솔린",9.1,13.9,265,435,2023,23819
유럽,벤츠,The New CLS-Class,12680,12760,준대형,가솔린,9.1,13,245,435,2021,2116
유럽,벤츠,The New E-Class,7390,12300,준대형,"가솔린, 디젤",11.6,15.4,197,381,2024,118250
유럽,벤츠,The New E-Class,6780,12980,준대형,"가솔린, 디젤, 전기 하이브리드",9.1,13.7,194,435,2023,13063
유럽,벤츠,The New S-Class,14180,29900,대형,"가솔린, 전기 하이브리드, 디젤",7.5,12.6,286,612,2024,16096
유럽,벤츠,S-Class,22760,22760,대형,가솔린,7.3,11,286,612,2021,1322
유럽,벤츠,Maybach GLS-Class F/L,27900,31900,대형 SUV,가솔린,6.1,6.1,557,557,2024,118456
유럽,벤츠,The New Maybach S-Class,27300,59000,대형,가솔린,5.8,8.1,503,630,2024,18143
유럽,벤츠,Maybach GLS-Class,26000,29900,대형 SUV,가솔린,6.6,6.6,557,557,2023,16481
유럽,벤츠,The new SL-Class,23500,26300,스포츠카,가솔린,6.3,6.5,585,585,2024,39205
유럽,벤츠,AMG GT,18260,25360,스포츠카,가솔린,7,7,476,585,2021,11940
유럽,벤츠,The New AMG GT 4door Coupe,14450,24740,스포츠카,가솔린,6.7,8.6,367,639,2024,27457
유럽,벤츠,AMG GT 4door Coupe,13760,24160,스포츠카,가솔린,7.2,8.8,389,639,2021,17768
유럽,벤츠,The New EQA,6790,7360,중형 SUV,전기,4.9,4.9,190,190,2025,109648
유럽,벤츠,EQA,5990,7450,중형 SUV,전기,4,4.9,190,190,2024,41286
유럽,벤츠,The New EQB,7660,8200,중형 SUV,전기,4.1,4.1,228.4,228.4,2025,109657
유럽,벤츠,EQB,6900,8200,중형 SUV,전기,4.1,4.1,228.4,228.4,2024,31076
유럽,벤츠,EQC,9560,9590,중형 SUV,전기,3.2,3.2,408,408,2021,6248
유럽,벤츠,The New EQE SUV,10990,13400,중형 SUV,전기,3.8,3.9,292.4,408,2024,46235
유럽,벤츠,EQE,9210,10990,준대형,전기,4,4.3,245,292,2024,34220
유럽,벤츠,EQE AMG,14520,14520,준대형,전기,3.3,3.3,625.6,625.6,2023,42272
유럽,벤츠,EQS,15700,19000,대형,전기,3.5,4,292.4,360.4,2023,23395
유럽,벤츠,EQS AMG,21440,21600,대형,전기,3.2,3.2,658.2,658.2,2023,35996
유럽,벤츠,EQS SUV,15410,18680,대형 SUV,전기,3.5,3.6,360,544,2023,38822
유럽,벤츠,GLB-Class F/L,6210,7710,소형 SUV,"가솔린, 디젤",9,14.2,150,306,2024,116410
유럽,벤츠,GLB-Class,5560,7500,소형 SUV,"가솔린, 디젤",9,14.2,150,306,2023,12755
유럽,벤츠,GLA-Class F/L,6790,6860,준중형 SUV,가솔린,10.8,10.8,224,224,2025,116423
유럽,벤츠,GLA-Class,6090,8320,준중형 SUV,가솔린,8.6,11.5,190,387,2023,12808
유럽,벤츠,The new GLC-Class,7680,10400,중형 SUV,"가솔린, 디젤",8.3,14.1,197,421,2024,125003
유럽,벤츠,GLC-Class,7050,14000,중형 SUV,"가솔린, 전기 하이브리드, 디젤",7,12.4,194,510,2023,7508
유럽,벤츠,The New GLE-Class,11300,16060,대형 SUV,"가솔린, 디젤, 전기 하이브리드",8,11.4,269,435,2024,48086
유럽,벤츠,The GLE-Class,10300,19690,대형 SUV,"가솔린, 디젤, 전기 하이브리드",8.3,11.4,211,367,2023,4720
유럽,벤츠,The New GLS-Class F/L,16160,18150,대형 SUV,"가솔린, 디젤",6,10.4,367,557,2024,112955
유럽,벤츠,The New GLS-Class,14300,18080,대형 SUV,"가솔린, 디젤",7.3,9.8,330,489,2023,10283
유럽,벤츠,G-Class,17400,29700,대형 SUV,"가솔린, 디젤",5.2,8.4,330,585,2024,4471
유럽,BMW,New 1 Series,4600,5140,소형,가솔린,11,14.3,150,192,2024,7434
유럽,BMW,New 2 Series 액티브 투어러,4400,5270,준중형,"가솔린, 디젤",12.2,15.8,150,204,2024,32708
유럽,BMW,2 Series 그란쿠페,4680,5220,준중형,가솔린,11.2,14.3,150,192,2024,8128
유럽,BMW,3 Series F/L,5590,7110,중형,"가솔린, 디젤, 전기 하이브리드",10.8,15.7,184,293,2024,35853
유럽,BMW,3 Series,5020,8270,중형,"가솔린, 디젤, 전기 하이브리드",9.9,14.3,184,387,2022,5109
유럽,BMW,New 4 Series,5860,7630,중형,"가솔린, 디젤",10.4,15,184,387,2024,16090
유럽,BMW,i4,7550,8480,중형,전기,4.6,4.6,340,340,2024,27858
유럽,BMW,The New 5 Series,6880,9540,준대형,"가솔린, 디젤, 전기 하이브리드",11.1,15.9,190,299,2024,48640
유럽,BMW,The New 5 Series,6660,8840,준대형,"가솔린, 디젤, 전기 하이브리드",7.9,17.5,184,530,2023,13324
유럽,BMW,i5,9290,10170,준대형,전기,4.1,4.1,340,340,2024,48659
유럽,BMW,i5 M,13490,13890,준대형,전기,3.8,3.8,601,601,2024,48677
유럽,BMW,New 6 Series,8410,11610,준대형,"가솔린, 디젤",9.3,13.5,190,340,2024,13559
유럽,BMW,The New 7 Series,14730,22600,대형,"가솔린, 디젤, 전기 하이브리드",10.4,15,299,489,2024,34088
유럽,BMW,7 Series,13870,23340,대형,"가솔린, 디젤, 전기 하이브리드",6,14.2,265,609,2022,2938
유럽,BMW,The New i7,16690,24050,대형,전기,3.7,3.8,455,544,2024,34092
유럽,BMW,i7 M,23180,26340,대형,전기,3.3,3.3,659,659,2024,112231
유럽,BMW,8 Series,13440,13860,대형,"가솔린, 디젤",9.4,12.8,320,340,2022,5767
유럽,BMW,M,6080,24940,스포츠카,"전기, 가솔린, 하이브리드",4.1,10.4,306,625,2024,14168
유럽,BMW,The New Z4,7330,9880,스포츠카,가솔린,10.2,10.7,197,387,2025,40543
유럽,BMW,All New Z4,6440,9110,스포츠카,가솔린,10.2,10.7,197,197,2022,2444
유럽,BMW,iX1,6690,6960,소형 SUV,전기,4.2,4.2,313,313,2024,38637
유럽,BMW,The New X1,5820,6690,소형 SUV,"가솔린, 디젤",10.7,14.6,150,204,2024,41347
유럽,BMW,New X2,6830,6830,준중형 SUV,가솔린,10.8,10.8,204,204,2024,122043
유럽,BMW,X2,5570,6010,소형 SUV,가솔린,9.8,13.6,150,231,2023,2197
유럽,BMW,New iX3,7850,8260,중형 SUV,전기,4.1,4.1,286,286,2024,60971
유럽,BMW,The New X3,6650,9060,중형 SUV,"가솔린, 전기 하이브리드, 디젤",9.8,13.6,184,292,2024,23232
유럽,BMW,X3,8510,8510,중형 SUV,디젤,9.5,13.6,184,292,2021,1654
유럽,BMW,The All New X4,6870,8600,중형 SUV,"가솔린, 디젤",9.9,12.3,184,190,2024,23255
유럽,BMW,iX,14420,15360,중형 SUV,전기,3.6,3.9,326,523,2024,23537
유럽,BMW,New X5,11610,14360,대형 SUV,"가솔린, 디젤, 전기 하이브리드",9.2,12,286,381,2024,45989
유럽,BMW,The All New X5,11250,13250,대형 SUV,"가솔린, 디젤, 전기 하이브리드",8,11.4,265,400,2023,2194
유럽,BMW,New X6,12580,13770,대형 SUV,"가솔린, 디젤",9.5,11.9,286,381,2024,45994
유럽,BMW,New X6,12020,13720,대형 SUV,"가솔린, 디젤",7.6,10.9,286,400,2023,6830
유럽,BMW,New X7,14720,15820,대형 SUV,"가솔린 하이브리드, 디젤",7.8,10,340,381,2024,33317
유럽,BMW,The XM,22330,26840,대형 SUV,가솔린 전기 하이브리드,10,10,489,653,2024,39561
유럽,BMW,New M2,8990,9490,스포츠카,가솔린,8.5,8.5,460,460,2024,45839
유럽,BMW,New X1 M,7150,7580,중형 SUV,가솔린,10.2,10.2,317,317,2024,119046
유럽,BMW,New X5 M,15800,19020,중형 SUV,가솔린,6.9,7.5,530,625,2024,46031
유럽,BMW,New X6 M,15910,19420,대형 SUV,가솔린,7,7.8,530,625,2024,46034
